user_id,timestamp,system_name,login_type,login_success_flag,is_second_factor,ip_address,device_type,is_suspicious
user_0,2007-01-11T23:15:00,lab_portal,password,1,0,192.168.130.204,laptop,0
user_1,2015-02-23T08:20:00,ehr_system,sso,1,0,10.248.190.251,desktop,0
user_2,2007-01-05T08:25:00,lab_portal,password,1,1,192.168.152.55,desktop,0
user_3,2019-01-26T19:54:00,admin_console,sso,1,0,192.168.165.116,laptop,0
user_4,2011-01-31T15:31:00,admin_console,password,1,1,10.57.43.172,laptop,0
user_5,2008-01-12T03:03:00,lab_portal,password,1,1,192.168.60.46,laptop,0
user_6,2003-02-16T16:21:00,genomics_pipeline,token,1,0,192.168.79.117,mobile,0
user_7,2021-01-01T12:49:00,lab_portal,token,1,0,192.168.202.251,mobile,0
user_8,2012-02-15T02:05:00,genomics_pipeline,password,1,0,192.168.163.226,desktop,0
user_9,2006-02-17T04:49:00,ehr_system,password,1,0,172.19.184.145,laptop,0
user_10,2021-02-27T17:04:00,ehr_system,token,1,0,172.24.48.13,desktop,0
user_11,2012-02-29T05:45:00,ehr_system,token,1,0,172.30.0.116,desktop,0
user_12,2022-02-19T22:52:00,admin_console,token,1,0,10.117.2.143,desktop,0
user_13,2012-03-05T14:16:00,ehr_system,sso,1,0,172.24.202.11,desktop,0
user_14,2017-01-18T19:38:00,genomics_pipeline,password,1,1,10.223.15.199,laptop,0
user_15,2010-01-13T19:11:00,ehr_system,token,1,0,10.203.151.155,desktop,0
user_16,2016-02-11T01:50:00,lab_portal,password,1,1,192.168.7.121,laptop,0
user_17,2015-01-25T20:13:00,lab_portal,sso,1,0,10.135.185.59,laptop,0
user_18,2019-02-16T19:55:00,admin_console,sso,1,0,10.27.219.100,mobile,0
user_19,2023-02-16T09:23:00,lab_portal,token,1,0,192.168.227.191,laptop,0
user_20,2003-02-17T23:32:00,genomics_pipeline,sso,1,0,172.21.190.144,mobile,0
user_21,2019-01-29T21:26:00,ehr_system,password,0,1,192.168.160.244,laptop,0
user_22,2021-02-25T13:58:00,admin_console,token,1,1,192.168.219.239,laptop,0
